SchoolID,SchoolYearStart,CountyID,DistrictID,Enrollment,DistrictEnrollment,CountyEnrollment,FreeLunches,DistrictFreeLunches,CountyFreeLunches,ReducedLunches,DistrictReducedLunches,CountyReducedLunches,EligibleStudents,DistrictEligibleStudents,CountyEligibleStudents,PercentEligible,DistrictPercentEligible,CountyPercentEligible,County,District,School,Spacer
313,7/1/14,10,2002,141,1433,13935,59,694,7598,6,90,1101,65,784,8699,46.1,54.71,62.43,Douglas,Winston-Dillard SD 116,Lookingglass Elementary School,
315,7/1/14,10,2002,197,1433,13935,102,694,7598,9,90,1101,111,784,8699,56.35,54.71,62.43,Douglas,Winston-Dillard SD 116,Winston Middle School,
311,7/1/14,10,2002,271,1433,13935,149,694,7598,22,90,1101,171,784,8699,63.1,54.71,62.43,Douglas,Winston-Dillard SD 116,McGovern Elementary School,
3624,7/1/14,10,2002,367,1433,13935,210,694,7598,30,90,1101,240,784,8699,65.4,54.71,62.43,Douglas,Winston-Dillard SD 116,Brockway Elementary School,
4590,7/1/14,24,2146,,5745,60991,,3915,32986,,466,4619,0,4381,37605,0,76.26,61.66,Marion,Woodburn SD 103,Woodburn Family Literacy Center,
4230,7/1/14,24,2146,161,5745,60991,85,3915,32986,18,466,4619,103,4381,37605,63.98,76.26,61.66,Marion,Woodburn SD 103,Woodburn Arthur Academy,
4544,7/1/14,24,2146,144,5745,60991,94,3915,32986,7,466,4619,101,4381,37605,70.14,76.26,61.66,Marion,Woodburn SD 103,Woodburn Success,
4541,7/1/14,24,2146,358,5745,60991,220,3915,32986,34,466,4619,254,4381,37605,70.95,76.26,61.66,Marion,Woodburn SD 103,"Wellness, Business and Sports School",
4543,7/1/14,24,2146,372,5745,60991,236,3915,32986,29,466,4619,265,4381,37605,71.24,76.26,61.66,Marion,Woodburn SD 103,Woodburn Arts and Communications Academy,
1268,7/1/14,24,2146,596,5745,60991,395,3915,32986,41,466,4619,436,4381,37605,73.15,76.26,61.66,Marion,Woodburn SD 103,French Prairie Middle School,
1267,7/1/14,24,2146,782,5745,60991,539,3915,32986,49,466,4619,588,4381,37605,75.19,76.26,61.66,Marion,Woodburn SD 103,Lincoln Elementary School,
4540,7/1/14,24,2146,308,5745,60991,217,3915,32986,20,466,4619,237,4381,37605,76.95,76.26,61.66,Marion,Woodburn SD 103,Academy of International Studies (at Woodburn),
1359,7/1/14,24,2146,930,5745,60991,644,3915,32986,81,466,4619,725,4381,37605,77.96,76.26,61.66,Marion,Woodburn SD 103,Heritage Elementary,
796,7/1/14,24,2146,485,5745,60991,340,3915,32986,42,466,4619,382,4381,37605,78.76,76.26,61.66,Marion,Woodburn SD 103,Nellie Muir Elementary School,
4542,7/1/14,24,2146,393,5745,60991,265,3915,32986,47,466,4619,312,4381,37605,79.39,76.26,61.66,Marion,Woodburn SD 103,"Woodburn Academy of Art, Science and Technology",
1360,7/1/14,24,2146,640,5745,60991,444,3915,32986,75,466,4619,519,4381,37605,81.09,76.26,61.66,Marion,Woodburn SD 103,Valor Middle School,
